tag,port,mean,std,n_tot,ci_lo,ci_hi
flw_20250821_055747_Balance200,baton_rouge,0.535875,0.004262950041409777,24000.0,0.5295601920361354,0.5421783250185681
flw_20250821_055747_Balance200,gulfport,0.4564375,0.010963362280796893,16000.0,0.4487307569344639,0.46416515675665876
flw_20250821_055747_Balance200,new_orleans,0.523975,0.002630054657226731,40000.0,0.5190785684187227,0.5288668269055103
flw_20250821_055747_Balance200,south_louisiana,0.535875,0.004262950041409777,24000.0,0.5295601920361354,0.5421783250185681
flw_20250821_060608_Unbalanced200_8_8_vs_2_2,baton_rouge,0.5145416666666667,0.010499049229440843,24000.0,0.5082166480867054,0.5208620307194404
flw_20250821_060608_Unbalanced200_8_8_vs_2_2,gulfport,0.4176875,0.0070696866090372,16000.0,0.4100662761306225,0.42534824084385175
flw_20250821_060608_Unbalanced200_8_8_vs_2_2,new_orleans,0.50715,0.002140385479300384,40000.0,0.5022500496149392,0.5120485771449468
flw_20250821_060608_Unbalanced200_8_8_vs_2_2,south_louisiana,0.5145416666666667,0.010499049229440845,24000.0,0.5082166480867054,0.5208620307194404
flw_20250821_061455_epMix_fair_unbalanced200,baton_rouge,0.535875,0.004262950041409777,24000.0,0.5295601920361354,0.5421783250185681
flw_20250821_061455_epMix_fair_unbalanced200,gulfport,0.4564375,0.010963362280796893,16000.0,0.4487307569344639,0.46416515675665876
flw_20250821_061455_epMix_fair_unbalanced200,new_orleans,0.5239499999999999,0.0026481125353730655,40000.0,0.5190535590660543,0.5288418410597177
flw_20250821_061455_epMix_fair_unbalanced200,south_louisiana,0.535875,0.004262950041409777,24000.0,0.5295601920361354,0.5421783250185681
